id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
5437400630,20141016T000000,625000.0,4,2.25,1920,8259,2.0,0,0,4,8,1920,0,1979,0,98027,47.5616,-122.088
3999300290,20141016T000000,850000.0,3,3.5,2620,11148,2.0,0,4,4,9,2060,560,1977,0,98008,47.5845,-122.115
2525059134,20141016T000000,500000.0,2,1.5,1760,12000,1.0,0,0,4,7,1760,0,1964,0,98052,47.6288,-122.109
1862400285,20141016T000000,375000.0,3,1.0,1200,5404,1.0,0,0,3,6,1200,0,1937,0,98117,47.6969,-122.368
7199320190,20141016T000000,618000.0,4,2.25,2470,7350,1.0,0,0,3,7,1600,870,1978,0,98052,47.6936,-122.128
8815400670,20141016T000000,780000.0,3,2.0,2610,6000,1.0,0,0,5,7,1310,1300,1941,0,98115,47.675,-122.289
1568100380,20141016T000000,345000.0,2,1.0,1160,8504,1.0,0,0,4,7,1160,0,1949,0,98155,47.7364,-122.295
5561000430,20141016T000000,470000.0,3,2.25,1830,39165,1.0,0,0,5,8,1830,0,1963,0,98027,47.4612,-121.992
7200179,20141016T000000,730607.0431942892,2,1.0,840,12750,1.0,0,0,3,6,840,0,1925,0,98055,47.484,-122.211
305010190,20141016T000000,680000.0,4,2.5,2830,8399,2.0,0,0,3,9,2830,0,1998,0,98075,47.5851,-122.034
1924079090,20141016T000000,530000.0,3,2.75,2440,45738,2.0,0,0,3,8,1840,600,1987,0,98027,47.5453,-121.957
5700002285,20141016T000000,495000.0,4,1.75,2040,3570,1.0,0,0,4,7,1020,1020,1917,0,98144,47.5754,-122.288
2115510300,20141016T000000,246000.0,3,2.25,1440,10500,1.0,0,0,3,8,1130,310,1983,0,98023,47.31800000000001,-122.391
6751300375,20141016T000000,522500.0,3,1.0,1520,9030,1.0,0,0,3,7,1520,0,1956,0,98007,47.587,-122.134
5244800915,20141016T000000,780000.0,5,2.5,1660,4000,1.5,0,0,5,8,1660,0,1929,0,98109,47.6452,-122.352
9274200850,20141016T000000,464050.0,2,1.0,780,2750,1.0,0,0,4,7,780,0,1928,0,98116,47.5842,-122.388
5318101185,20141016T000000,630500.0,3,1.0,1180,3600,1.5,0,0,3,7,1180,0,1926,0,98112,47.6337,-122.28
1138000450,20141016T000000,355000.0,4,1.0,1440,7215,1.5,0,0,3,7,1440,0,1969,0,98034,47.7133,-122.212
7430500301,20141016T000000,700000.0,3,1.5,2240,7227,2.0,0,1,3,9,1440,800,1977,0,98008,47.6208,-122.093
3575303430,20141016T000000,780000.0,6,4.25,4310,10000,2.0,0,0,3,8,2950,1360,2008,0,98074,47.6214,-122.062
7694200340,20141016T000000,398651.0,4,2.5,2650,4120,2.0,0,0,3,8,2650,0,2014,0,98146,47.5019,-122.34
