Czechia,100,100,100,99,99,99,,98,96,96,98,93,96,96,0,0,,,,,,
Democratic People's Republic of Korea,100,100,99,77,83,68,97,97,96,99,99,98,96,96,0,0,97,80,74,,,
Democratic Republic of the Congo,42,70,21,20,23,18,80,80,79,74,77,0,79,79,0,77,85,42,39,55,56,70
Denmark,100,100,100,100,100,100,,97,94,94,94,85,0,94,0,94,,,,,,
Djibouti,77,83,55,51,63,13,90,90,84,84,75,82,84,84,86,82,85,94,94,,20,32
Dominica,97,,,78,,,98,99,99,99,96,92,99,99,0,0,,,,,,
Dominican Republic,94,97,86,83,85,74,99,98,87,82,85,0,80,73,75,30,90,73,48,65,,
Ecuador,93,100,80,86,89,80,84,94,83,79,86,76,84,84,80,84,88,,46,,,
Egypt,98,99,98,93,97,90,96,96,95,95,95,96,95,95,0,0,80,68,28,68,,
El Salvador,93,98,83,91,93,87,99,97,93,95,90,87,93,93,93,90,90,80,70,,,
Equatorial Guinea,50,78,31,75,80,71,48,40,19,20,30,0,19,19,0,0,70,54,40,62,23,38
Eritrea,19,66,6,11,29,6,97,97,95,95,93,85,95,95,96,95,94,45,43,,20,71
Estonia,100,100,99,100,100,100,95,94,93,93,93,92,93,93,85,0,,,,,,
Ethiopia,39,77,30,7,18,4,75,86,77,75,70,0,77,77,63,76,80,30,30,35,45,64
Fiji,94,98,89,96,96,95,99,99,99,99,94,94,99,99,99,99,94,,,,,
Finland,100,100,100,99,99,99,,99,92,92,94,85,0,92,84,87,,,,,,
France,100,100,100,99,99,99,,99,97,97,90,79,88,96,0,91,,,,,,
Gabon,88,92,59,41,42,32,94,83,75,74,64,0,75,75,0,0,90,68,26,67,39,36
Gambia,80,88,68,42,46,35,98,99,95,95,97,79,95,95,95,95,92,68,59,65,47,69
Georgia,93,98,87,85,95,73,98,97,92,92,93,85,92,92,75,75,,74,40,,,
Germany,100,100,100,99,99,99,,95,95,94,97,93,88,93,66,86,,,,,,
Ghana,78,88,66,14,19,9,94,94,93,95,89,75,93,93,94,93,88,56,49,77,47,68
Greece,100,100,100,99,99,98,,99,99,99,97,83,96,99,20,96,,,,,,
Grenada,96,,,78,,,,98,96,98,95,85,96,96,0,0,,,,,,
Guatemala,94,97,89,67,81,53,87,96,80,82,86,65,80,80,82,81,90,52,49,50,,
Guinea,67,88,55,22,34,15,72,65,57,42,54,0,57,57,0,0,80,37,34,37,26,47
Guinea-Bissau,69,85,54,21,35,8,94,95,87,87,81,0,87,87,61,80,80,34,35,51,81,90
Guyana,95,100,93,86,89,85,95,97,97,94,99,94,97,97,96,92,99,84,43,71,7,5
Haiti,64,81,40,31,37,22,72,78,58,56,53,26,58,58,48,0,88,38,53,40,12,19
Holy See,,,,,,,,,,,,,,,,,,,,,,
Honduras,92,99,84,80,84,75,99,99,97,97,88,0,97,97,97,97,94,64,60,62,,
Hungary,100,100,100,98,98,99,99,99,99,99,99,99,0,99,0,98,,,,,,
Iceland,100,100,100,99,99,100,,96,91,91,91,95,0,91,0,90,,,,,,
India,88,93,85,44,65,34,89,91,88,86,88,76,88,80,4,0,87,73,51,71,,
Indonesia,90,97,81,68,77,57,81,95,79,80,76,56,79,79,0,0,85,75,39,74,3,3
Iran (Islamic Republic of),95,97,89,88,92,79,99,99,99,99,99,98,99,99,0,0,95,76,61,,,
Iraq,86,90,78,86,86,86,94,73,63,68,66,64,61,63,34,0,75,74,23,,,
Ireland,99,99,99,92,91,95,18,98,95,95,92,0,95,95,0,91,,,,,,
Israel,100,100,100,100,100,100,,94,94,94,97,97,95,94,81,93,,,,,,
Italy,100,100,100,99,99,99,,97,93,93,85,83,93,93,0,89,,,,,,
Jamaica,93,97,88,85,84,87,96,99,99,99,95,85,98,99,0,0,80,82,64,,,
Japan,99,,,100,,,84,99,99,99,96,93,0,99,0,99,,,,,,
Jordan,99,99,97,97,97,96,99,99,98,98,96,99,98,98,97,0,90,77,20,69,,
Kazakhstan,91,97,84,98,97,99,95,93,82,82,99,99,82,82,0,97,,81,62,,,
Kenya,58,83,50,30,35,28,99,96,89,88,75,32,89,89,74,78,85,66,54,72,56,59
Kiribati,64,90,44,40,49,32,79,82,81,82,80,79,81,81,79,79,90,81,62,27,,
Kuwait,100,,,100,,,99,99,99,99,93,96,99,99,0,99,95,,,,,
Kyrgyzstan,87,97,82,97,93,99,97,97,96,97,97,98,96,96,0,0,,60,33,56,,
Lao People's Democratic Republic,80,92,73,73,93,60,78,85,82,83,76,0,82,82,0,78,90,54,42,,43,50
Latvia,99,99,98,93,97,84,96,99,98,98,93,89,98,98,83,82,,,,,,
Lebanon,92,,,95,,,,84,81,75,79,75,81,81,0,0,,74,44,,,
Lesotho,72,87,66,44,46,43,98,98,93,90,90,82,93,93,0,93,85,63,53,61,,
Liberia,70,80,60,17,28,6,97,99,79,79,80,0,79,79,48,79,89,51,60,78,44,62
Libya,97,,,100,,,99,98,97,97,97,96,97,97,97,96,,,,,,
Liechtenstein,100,,,100,,,,,,,,,,,,,,,,,,
Lithuania,97,100,93,94,97,86,98,97,94,94,94,92,95,94,0,82,,,,,,
Luxembourg,100,100,100,98,97,99,,99,99,99,99,86,94,99,89,95,,,,,,
Madagascar,51,82,34,10,16,6,70,84,77,75,58,0,77,77,78,76,78,41,15,46,73,80
Malawi,67,87,63,44,49,43,86,89,84,83,81,61,84,84,81,83,89,78,65,67,43,57
Malaysia,96,99,89,100,100,99,98,99,98,98,96,99,98,98,0,0,90,,,,,
Maldives,98,96,100,96,93,98,99,99,99,99,99,99,99,99,0,0,99,22,57,84,,
Mali,74,91,63,31,46,22,92,86,68,67,75,0,68,68,60,70,85,23,22,49,79,93
Malta,100,100,100,100,100,100,,97,97,97,93,86,97,97,0,0,,,,,,
Marshall Islands,78,70,99,87,95,66,94,87,71,69,75,49,73,58,38,51,,,38,63,,
Mauritania,70,86,45,45,63,17,85,87,73,67,70,0,73,73,73,73,80,34,19,35,18,67
Mauritius,100,100,100,93,94,93,98,97,96,96,92,92,72,96,92,10,95,,,,,
Mexico,98,100,94,89,91,81,99,99,97,96,96,98,93,97,72,92,90,73,61,,,
Micronesia (Federated States of),88,97,86,,,,85,95,69,68,70,74,76,61,46,63,,,,,,
Monaco,100,100,,100,100,,89,99,99,99,99,0,99,99,0,0,,,,,,
Mongolia,83,94,56,59,66,41,99,99,99,99,98,90,99,99,0,0,,70,42,,,
Montenegro,98,97,99,96,98,92,88,97,89,89,47,86,75,89,0,0,,89,16,74,,
Montserrat,97,,,89,,,,,,,,,,,,,,,,,,
Morocco,83,96,64,83,89,75,99,99,99,99,99,99,99,99,99,98,90,70,22,,,
Mozambique,47,79,32,24,47,12,95,90,80,80,91,51,80,80,76,80,83,50,55,56,36,51
Myanmar,68,82,60,65,76,59,88,94,90,89,91,86,90,90,0,14,87,58,62,65,19,27
Namibia,79,97,63,34,55,15,94,98,92,92,85,0,92,92,86,81,88,68,72,63,6,24
Nauru,100,100,,66,66,,99,98,91,91,98,96,91,91,0,0,,69,23,51,,
Nepal,88,89,87,46,52,45,93,92,87,85,83,25,87,87,0,46,82,85,37,46,,
Netherlands,100,100,100,98,98,100,,98,95,95,94,91,93,95,0,94,,,,,,
New Zealand,100,100,100,100,100,100,,92,92,92,92,89,92,92,66,93,,,,,,
Nicaragua,82,97,61,76,86,63,98,99,98,99,99,0,98,98,98,98,85,58,65,,,
Niger,46,89,36,13,44,6,77,87,67,67,74,37,67,67,61,64,85,59,41,51,20,61
Nigeria,67,82,54,33,39,27,64,64,49,49,51,0,49,49,0,26,63,35,34,66,44,69
Niue,98,,,97,,,99,99,99,99,99,99,99,99,0,99,,,,,,
Norway,100,100,100,98,98,98,,99,96,96,96,91,0,96,0,94,,,,,,
Oman,91,95,78,99,99,99,99,99,99,99,99,99,99,99,0,99,98,56,59,,,
Pakistan,89,92,87,58,74,48,85,79,72,72,61,53,72,72,0,72,80,64,38,65,0,1
Palau,100,100,97,100,100,100,,99,98,98,96,95,98,98,98,98,,,,,,
Panama,95,99,87,77,86,59,99,96,73,72,90,92,73,73,92,83,,82,52,,,
Papua New Guinea,37,84,29,19,55,13,89,87,72,73,70,0,66,72,0,20,75,63,,,,
Paraguay,99,99,98,91,98,81,99,99,93,89,99,92,93,93,92,99,85,,,,,
Peru,90,95,72,77,82,58,90,94,89,88,88,66,89,89,87,86,85,62,32,61,,
Philippines,91,96,86,75,79,72,76,87,86,72,80,66,86,86,0,36,90,64,49,50,,
Poland,98,99,96,98,98,98,94,99,98,92,96,94,96,98,0,0,,,,,,
Portugal,100,100,100,99,99,100,32,99,98,98,98,95,98,98,0,0,,,,,,
Qatar,100,,,100,,,97,99,98,98,99,92,98,98,99,97,,,,,,
Republic of Korea,100,,,100,,,97,98,98,98,98,97,98,98,0,98,,,,,,
Republic of Moldova,87,96,79,78,89,70,97,94,89,91,88,95,90,89,70,77,,79,42,,,
Romania,100,100,100,82,93,68,84,96,89,89,86,76,90,89,0,0,,,,,,
Russian Federation,96,99,90,89,93,76,96,97,97,97,98,97,97,0,0,35,,,,,,
Rwanda,57,77,49,62,57,64,99,99,98,99,95,90,98,98,98,98,90,54,28,57,68,81
Saint Kitts and Nevis,,,,,,,96,99,97,99,98,97,98,98,0,0,,,,,,
Saint Lucia,98,98,98,91,86,92,96,95,95,95,99,88,95,95,0,0,,,,,,
Saint Vincent and the Grenadines,95,,,87,,,99,99,98,97,99,99,98,99,0,0,,,,,,
Samoa,96,99,95,97,98,96,76,95,62,57,68,44,55,55,0,0,,78,63,59,,
San Marino,100,,,100,,,,78,66,66,62,36,66,65,0,12,,,,,,
Sao Tome and Principe,80,83,74,40,47,28,92,97,96,96,93,76,96,96,24,96,99,69,49,66,61,78
Saudi Arabia,100,,,100,,,98,98,98,97,98,96,98,98,95,98,,,,,,
Senegal,75,91,63,48,66,35,97,96,93,92,93,75,93,93,93,93,91,48,32,49,55,77
Serbia,91,88,95,95,98,91,98,97,92,93,82,90,91,92,0,0,,90,36,,,
Seychelles,96,,,100,,,99,98,96,96,97,99,97,96,0,0,100,,,,,
Sierra Leone,58,75,47,15,24,8,92,97,84,84,83,50,84,84,95,84,90,72,85,72,49,64
Singapore,100,100,,100,100,,99,98,97,96,95,88,96,96,57,78,,,,,,
Slovakia,98,99,97,99,99,98,0,99,96,96,95,97,96,96,0,96,,,,,,
Slovenia,100,100,99,99,99,99,,98,94,94,92,93,0,94,0,50,,,,,,
Solomon Islands,64,90,56,31,76,18,98,99,99,99,99,0,99,99,0,87,85,79,37,61,70,86
Somalia,40,70,20,16,28,8,37,52,42,47,46,0,42,42,0,0,67,13,13,,11,12
South Africa,85,97,63,73,76,69,74,78,66,66,75,70,66,66,73,69,80,88,51,68,,
South Sudan,50,60,48,10,28,6,37,35,26,31,20,0,26,26,0,0,75,48,39,57,46,66
Spain,100,100,100,100,100,100,,99,97,97,97,95,97,97,0,0,,,,,,
Sri Lanka,92,96,91,94,89,95,99,99,99,99,99,99,99,99,0,0,95,58,51,85,3,5
State of Palestine,88,86,94,96,95,99,99,99,99,99,99,99,99,99,0,99,,77,32,,,
Sudan,59,73,52,35,58,23,96,97,93,93,86,69,93,93,90,93,77,48,20,,30,25
Suriname,95,98,88,79,88,61,,92,91,91,97,44,91,91,0,0,93,76,42,,43,61
Swaziland,68,95,60,58,58,58,97,96,90,90,89,89,90,90,95,90,90,60,84,63,2,10
Sweden,100,100,100,99,99,100,26,99,98,98,97,95,67,98,0,97,,,,,,
Switzerland,100,100,100,100,100,100,,99,97,97,94,89,0,97,0,81,,,,,,
Syrian Arab Republic,97,99,94,93,96,89,66,61,42,48,62,52,50,42,0,0,91,77,50,,,
Tajikistan,74,92,68,95,94,96,98,98,96,97,97,97,97,97,96,0,,63,60,57,1,2
Thailand,98,99,97,95,94,96,99,99,99,99,99,95,99,0,0,0,95,80,73,76,,
The former Yugoslav Republic of Macedonia,97,96,98,91,97,83,99,97,95,95,82,93,94,94,0,0,,93,62,,,
Timor-Leste,70,91,60,44,73,30,85,95,85,83,78,22,85,85,0,0,81,71,71,73,41,41
Togo,63,90,45,14,28,5,79,93,89,89,87,0,89,89,90,89,83,49,19,58,43,65
Tokelau,100,,100,93,,93,,,,,,,,,,,,,,,,
Tonga,100,100,100,93,97,92,80,83,78,80,84,85,78,78,0,0,,,,64,,
Trinidad and Tobago,97,,,92,,,,97,97,84,86,65,97,97,0,91,,74,,,,
Tunisia,94,100,83,93,98,83,95,99,98,98,96,97,98,98,0,0,96,60,65,,,
Turkey,99,99,100,96,99,89,96,99,98,98,98,85,98,98,0,98,90,,,,,
Turkmenistan,94,91,98,97,94,99,98,99,98,98,99,99,98,98,0,0,,59,47,,,
Turks and Caicos Islands,94,,,88,,,,,,,,,,,,,,,,,,
Tuvalu,99,100,99,91,92,91,98,99,94,94,96,92,94,94,0,0,,,44,79,,
Uganda,39,73,32,19,28,17,93,89,78,82,82,0,78,78,0,78,87,80,47,81,62,78
Ukraine,98,97,100,96,97,93,75,42,19,56,42,31,26,47,0,0,,92,59,,,
United Arab Emirates,100,100,100,100,100,100,99,99,99,99,99,99,99,99,92,99,,,,,,
United Kingdom,100,100,100,99,99,99,,98,94,94,92,89,0,94,90,92,,,,,,
United Republic of Tanzania,50,79,37,24,37,17,99,99,97,93,90,71,97,97,96,96,90,55,45,50,54,66
United States,99,100,97,100,100,100,,97,95,94,92,0,93,93,73,93,,,,,,
Uruguay,99,100,94,96,96,95,98,97,95,95,95,92,95,95,0,94,,91,,,,
Uzbekistan,,99,,100,100,100,99,99,99,99,99,99,99,99,99,99,,68,28,,,
Vanuatu,91,99,87,53,61,51,73,75,64,65,53,0,64,64,0,0,78,72,48,57,51,83
Venezuela (Bolivarian Republic of),97,99,86,95,98,72,99,98,84,82,88,53,84,84,47,7,75,72,38,,,
Viet Nam,91,92,91,78,91,72,95,96,96,95,99,95,96,96,0,0,94,81,51,,9,10
Yemen,70,85,63,60,90,44,73,76,71,65,70,49,71,71,59,71,70,34,25,33,,
Zambia,61,86,44,31,49,19,99,99,91,87,93,58,91,91,90,90,85,70,64,75,41,68
Zimbabwe,67,94,54,39,54,31,95,94,90,90,95,63,90,90,91,90,80,51,41,50,9,48
